recipe_id,name,image,description,user_id,preparation,cooktime,level,serves,category,type,calories,protein,carbohydrates,fat,cholesterol,salt,created_at,like_num,is_editerpick
72,Spicy Honey Mustard Pork Roast,P12. Honey-Mustard Pork Roast.jpg,Spicy Pork in a wonderful fan fried gravy sauce,1,10 mins,60 mins,Easy,6,Pork,Non-Veg,409 cal,40%,26%,33%,94 mg,3%,1/8/2015,,0
73,Pork Chops in  Beer,P13. Pork Chops in  Beer.jpg,This beer braised tender chops are perfect for a hectic weeknight because they're so easy to prep.,1,20 mins,10 mins,Moderate,4,Pork,Non-Veg,547 cal,40%,26%,32%,72 mg,4%,1/8/2015,,0
74,Wonton Soup,P14. Wonton Soup.jpg,Pork wontons simmer in broth with Chinese vegetables in this hearty and warming dish,1,15 mins,15 mins,Easy,4,Pork,Non-Veg,240 cal,49%,26%,25%,62 mg,4%,1/8/2015,,0
75,Baked Beans with Pork,P15. Baked Beans with Pork.jpg,"A little sweet, a little spice, and a little onion, and then bake it with bacon over the top.",1,20 mins,60 mins,Moderate,4,Pork,Non-Veg,290 cal,39%,23%,32%,97 mg,4%,1/8/2015,,0
76,Swedish Meatballs,P16. Swedish Meatballs.jpg,These are heavenly balls of pork smothered in a creamy gravy sauce.,1,15 mins,25 mins,Moderate,4,Pork,Non-Veg,380 cal,35%,22%,40%,167 mg,4%,1/8/2015,,0
77,Thai Pork with Peanut Sauce,P17. Thai Pork with Peanut Sauce.jpg,This delicious dish combines the standard pork chop with the wonderful flavor of coconuts and peanuts. ,1,30 mins,30 mins,Moderate,4,Pork,Non-Veg,419 cal,30%,27%,39%,137 mg,4%,1/8/2015,,0
78,Fiery Pork Skewers,P18. Fiery Pork Skewers.jpg,"Pork in teriyaki sauce, red wine vinegar, vegetable oil, brown sugar and red pepper flakes. ",1,15 mins,20 mins,Tough,4,Pork,Non-Veg,402 cal,28%,35%,37%,107 mg,4%,1/8/2015,,0
79,Pork with Black Bean Salsa,P19. Pork with Black Bean Salsa.jpg,Pork smeared in flavoured salsa accompanied by the goodness of black beans,1,5 mins,25 mins,Easy,4,Pork,Non-Veg,378 cal,33%,16%,41%,156 mg,4%,1/8/2015,,0
80,Szechaun Pork,P20. Szechaun Pork.jpg,This chinese favourite can be made in an instance and is hearty and budget friendly,1,10 mins,15 mins,Easy,4,Pork,Non-Veg,570 cal,31%,40%,27%,180 mg,4%,1/8/2015,,0
81,Egg Curry,E1. Egg Curry.JPG,Spicy and creamy egg curry made with dash of spices.,1,5 mins,30 mins,Easy,4,Egg,Non-Veg,177 cal,39%,30%,31%,113 mg,5%,1/9/2015,,0
82,Scrambled Egg,E2. Scrambled Egg.jpg,The perfect scrambled eggs should be soft and just a little bit moist.,1,0 mins,10 mins,Easy,1,Egg,Non-Veg,154 cal,45%,23%,31%,97 mg,4%,1/9/2015,,0
83,Masala Omelette  ,E3. Masala Omlette.jpg,"Masala omelette is an all time favourite. The easiest dish to make on the go, you can fluff it up and add a variety of toppings ",1,5 mins,5 mins,Easy,2,Egg,Non-Veg,225 cal,42%,27%,31%,113 mg,4%,1/9/2015,,0
84,Egg Bhruji,E4. Egg Bhurji.JPG,"Scrambled eggs, fried and tossed with a host of spices.",1,5 mins,10 mins,Easy,2,Egg,Non-Veg,201 cal,37%,32%,31%,113 mg,5%,1/9/2015,,0
85,Egg Masala,E5. Egg  Masala.jpg,Finely chopped boiled eggs with Indian spices tossed in,1,5 mins,20 mins,Easy,4,Egg,Non-Veg,260 cal,41%,34%,26%,119 mg,4%,1/9/2015,,0
86,Egg Roll,E6. Egg Roll.jpg,"This is a famous Indian street food which is made of fried eggs, onions, chillies wrapped in ",1,5 mins,10 mins,Easy,2,Egg,Non-Veg,227 cal,36%,31%,33%,93 mg,4%,1/9/2015,,0
87,Egg Benedict,E7. Egg Benedict.jpg,"Hot buttered muffins, bacon, and poached eggs are topped with a heavenly drizzle of hollandaise sauce. ",1,5 mins,25 mins,Easy,4,Egg,Non-Veg,284 cal,38%,31%,39%,93 mg,4%,1/9/2015,,0
88,Chettinad Egg Curry,E8. Chettinad Egg Curry.jpg,"A finger licking and spicy egg curry with flavorful spices,this curry goes very well with rice and roti.",1,15 mins,30 mins,Easy,3,Egg,Non-Veg,303 cal,34%,35%,31%,156 mg,5%,1/9/2015,,0
89,Stuffed Eggs,E9. Stuffed Eggs.jpg,Hard-cooked eggs get dolled up with the classic combination of cream cheese and seasonings.,1,10 mins,10 mins,Easy,4,Egg,Non-Veg,149 cal,45%,27%,28%,89 mg,5%,1/9/2015,,0
90,Egg Bean Salad,E10. Egg Bean Salad.JPG,"A simple and delicious combination of hard-cooked eggs, beans and onion. A little mayo holds it all together.",1,20 mins,30 mins,Moderate,2,Egg,Non-Veg,164 cal,44%,28%,27%,98 mg,4%,1/9/2015,,0
91,Muglai Parantha,E11. Muglai Parantha.jpg,"Wholesome and tasty Mughlai-style stuffed bread  with liberal helping of eggs, onion, green chilies and coriander leaves.",1,30 mins,15 mins,Moderate,2,Egg,Non-Veg,267 cal,39%,30%,31%,143 mg,5%,1/10/2015,,0
92,Egg Korma,E12. Egg Korma.JPG,Boiled egg cooked in masala flavoured curry.,1,10 mins,25 mins,Easy,4,Egg,Non-Veg,254 cal,45%,23%,31%,97 mg,4%,1/10/2015,,0
93,Cheese Omlette,E13. Cheese Omlette.jpg,"Masala omelette is an all time favourite. The easiest dish to make on the go, you can fluff it up and add a variety of toppings ",1,10 mins,5 mins,Easy,1,Egg,Non-Veg,245 cal,38%,27%,34%,133 mg,4%,1/10/2015,,0
94,Egg Pakoda,E14. Egg Pakoda.JPG,Puffs made from eggs and flour that makes for excellent quick snacks.,1,5 mins,10 mins,Easy,4,Egg,Non-Veg,201 cal,33%,32%,33%,103 mg,5%,1/10/2015,,0
95,Egg Salad,E15. Egg Salad.jpg,"This creamy egg salad is mashed up and mixed with mayo, mustard, tomato, crunchy bits of celery, and tangy dill relish.",1,5 mins,20 mins,Easy,2,Egg,Non-Veg,208 cal,45%,30%,26%,119 mg,4%,1/10/2015,,0
96,Egg Biryani,E16. Egg Biryani.JPG,Fragrant rice cooked in aromatic biryani spices and boiled eggs,1,15 mins,20 mins,Moderate,3,Egg,Non-Veg,227 cal,36%,31%,33%,93 mg,4%,1/10/2015,,0
97,Egg Manchurian,E17. Egg Manchurian.jpg,Crispy Egg balls made from flour and with traditional Chinese flavours,1,5 mins,25 mins,Moderate,2,Egg,Non-Veg,274 cal,41%,31%,37%,113 mg,4%,1/10/2015,,0
98,Baked Eggs with Beans,E18. Baked Eggs with Beans.jpg,Beans and eggs make for a healthy low carb diet,1,5 mins,20 mins,Moderate,3,Egg,Non-Veg,188 cal,54%,20%,23%,96 mg,5%,1/10/2015,,0
99,French Toast,E19. French Toast.jpg,"Thick slices of bread, soaked in a mixture of beaten eggs with milk and cinnamon, toasted in a frying pan",1,8 mins,15 mins,Easy,2,Egg,Non-Veg,209 cal,45%,27%,28%,89 mg,5%,1/10/2015,,0
100,Smoked Tofu & Egg Fried Rice,E20. Smoked Tofu & Egg Fried Rice.jpg,A simple and healthy dish compreising of smoked tofu sauteed with some cooked rice and eggs.,1,10 mins,20 mins,Moderate,2,Egg,Non-Veg,184 cal,44%,28%,27%,92 mg,4%,1/10/2015,,0
101,LittiChokha,LittiChokha.jpg,"Litti is a traditional dish from India's Bihar state; it consists of balls of wheat and sattu (powdered gram) formed into balls with spices, and then filled with ghee (clarified butter)",1,15 mins,45 mins,moderate,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
103,Bajra Khichdi,Bajra Khichdi.jpg,"A unique recipe of Khichdi, totally tasty and healthy",1,10 mins,15 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
104,Channa Madra,Channa Madra.JPG,This is a traditinal recipe of Himachal Pradesh. Very simple to make and tastes absolutely delicious,1,10 mins,20 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
105,Kalari Cheese,Kalari Cheese.jpg,This is a traditinal recipe by shepherds in the mountains of Kashmir,1,5 mins,5 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
106, Baingan ka Bharta,Baingan ka Bharta.jpg,"Baingan Bharta is a north Indian recipe made using roasted and mashed eggplant (brinjal) and cooked with onion, tomato, ginger and Indian spices",1,10 mins,10 mins,moderate,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
107,Spiced Lentil Soup,Spiced Lentil Soup.jpg,A soup to warm your soul! Healthy and tasty meal for winter,1,5 mins,20 mins,easy,4,Vegetarian,Veg,,,,,,,1/11/2015,,0
108,Uttapam,Uttapam.jpg,A breakfast recipe from South India. Easy to cook and delicious to eat,1,5 mins,10 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
109,Red Kidney Beans Curry,Red Kidney Beans Curry.jpg,"Rajmah Chawal, a red kidney bean curry served with rice, is a rustic Indian meal that is cooked in households all over India",1,480 mins,20 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
110,Boondi Raita,Boondi Raita.JPG,Boodi are tiny fried gram flour balls. Boondi Raita is ery easy to make and goes well with any North Indian dish especially rice dishes like Biryani and Pulao,1,5 mins,0 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
